status,tag,description,history,date
"DOING","PRO","python for everybody","H","2016-12-07@07:48"
"BACKLOG","PRO","git","H","2016-12-07@07:51"
"BACKLOG","PRO","splunk","H","2016-12-07@07:52"
"BACKLOG","PRO","snowflake","H","2016-12-07@07:52"
"BACKLOG","PRO","metasploit","H","2016-12-07@07:53"
"BACKLOG","PRO","snort","H","2016-12-07@07:54"
"BACKLOG","PRO","bro","H","2016-12-07@08:11"
"BACKLOG","PRO","iptables","B","2016-12-07@08:11"
"BACKLOG","PRO","bridge.tap0","B","2016-12-07@08:14"
"BACKLOG","PRO","ssh.tunnel","B","2016-12-07@08:15"
"HOLD","DONE","tricare 1.800.444.5445","H","2016-12-07@08:16"
"HOLD","PER","pain management 210.541.0700","H","2016-12-07@08:18"
"BACKLOG","PRO","rekall","B","2016-12-07@08:19"
"BACKLOG","PRO","cuckoo sandbox","B","2016-12-07@08:19"
"BACKLOG","PRO","CASP+","B","2016-12-07@11:32"
"BACKLOG","PRO","Linux+","B","2016-12-07@11:32"
"BACKLOG","PRO","GCIH","B","2016-12-07@11:32"
"BACKLOG","PRO","eng.fac.guide.31DEC","B","2016-12-07@11:33"
"BACKLOG","PRO","CodeOfEthics.engility","B","2016-12-07@11:34"
"BACKLOG","PRO","safari.skillsoft.eng","B","2016-12-07@11:34"
"HOLD","PER","psy.auth#","H","2016-12-07@11:36"
